OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,AII0020-NE4,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-NE4,0.93,-29.37,44.38,0.08,2.36,0.98,,7.18,,8.06,41.66,1.01,0.14,0.04,,0.22
Atlantic,AII0020-NE4,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE13,0.93,-29.37,36.64,3.99,17.20,2.78,,8.88,,11.38,6.48,12.63,3.85,0.80,2.64,0.13
Atlantic,AII0020-SE13,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE13,0.93,-29.37,36.64,3.99,17.20,2.78,,8.88,,11.38,6.48,13.30,3.85,0.80,2.64,0.13
Atlantic,AII0020-SE13,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE22,0.93,-29.37,,,,,,,,,,,,0.04,,
Atlantic,AII0020-SE22,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE22,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE22,0.93,-29.37,43.81,0.10,3.25,1.39,,7.61,,8.86,39.25,2.14,0.16,0.05,,0.16
Atlantic,AII0020-SE22,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE30,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE30,0.93,-29.37,38.10,5.58,16.07,1.56,,6.83,,8.23,12.24,12.20,2.82,1.20,0.27,0.10
Atlantic,AII0020-SE30,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE31,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-SE31,0.93,-29.37,37.05,5.04,16.33,1.64,,8.26,,9.74,11.69,11.87,2.95,1.19,0.77,0.09
Atlantic,AII0020-SE31,0.93,-29.37,,,,,,,,,,,,,,
